"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 24 18:04:24 CST 2019","Thu Oct 24 18:04:44 CST 2019","20106","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-更多-设置","Test_现金管理_更多_设置页面测试用例","","","test_21取消保留额度","取消保留额度"
"passed","Thu Oct 24 17:56:52 CST 2019","Thu Oct 24 17:56:56 CST 2019","3439","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-预约取款","Test_现金管理_智多鑫_预约取款用例","","","test_11预约取款规则校验","预约取款规则校验"
"passed","Thu Oct 24 17:50:29 CST 2019","Thu Oct 24 17:50:42 CST 2019","13419","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-更多-设置","Test_现金管理_更多_设置页面测试用例","","","test_3点击预约取款按钮","点击预约取款按钮"
"passed","Thu Oct 24 18:18:01 CST 2019","Thu Oct 24 18:18:02 CST 2019","1207","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-页面详情","Test_现金管理_添鑫宝_详情页","","","test_078分红默认文本","分红默认信息展示是否正确"
"passed","Thu Oct 24 18:07:12 CST 2019","Thu Oct 24 18:07:45 CST 2019","32685","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-签约1-适当性1","Test_现金管理_添鑫宝_签约1_适当性1","","","test_01未签约用户点击现金管理点击立即参与后添鑫宝页面现实签约按钮","未签约用户点击立即参与后详情页面是否存在签约按钮"
"passed","Thu Oct 24 18:00:37 CST 2019","Thu Oct 24 18:00:53 CST 2019","16228","建投自动化测试.现金管理测试用例","test_现金管理-更多-添鑫宝-解约暂停分红查询","Test_现金管理_更多_解约暂停分红查询测试用例","","","test_04点击取消解约查看现金产品状态是否变为正常","点击取消解约，查看现金产品状态是否变为正常"
"broken","Thu Oct 24 17:48:38 CST 2019","Thu Oct 24 17:48:58 CST 2019","20475","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-应急取款","Test_现金管理_智多鑫_应急取款","","","test_31应急取款失败","应急取款失败"
"passed","Thu Oct 24 18:05:24 CST 2019","Thu Oct 24 18:05:43 CST 2019","19137","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-更多-设置","Test_现金管理_更多_设置页面测试用例","","","test_7查看设置页面解约后详情页面是否显示解约中","设置页面点击解约，查看详情页面是否显示解约中"
"passed","Thu Oct 24 17:56:52 CST 2019","Thu Oct 24 17:56:52 CST 2019","508","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-预约取款","Test_现金管理_智多鑫_预约取款用例","","","test_1可取金额校验","可取金额校验"
"passed","Thu Oct 24 18:02:54 CST 2019","Thu Oct 24 18:03:00 CST 2019","6131","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-应急取款","Test_现金管理_添鑫宝_应急取款","","","test_3应急取款成功","应急取款成功"
