"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","现金管理-智多鑫-应急取款用例","智多鑫应急取款规则","0","0","1","0","0"
"","现金管理-更多-预约记录测试用例","提示失败信息","0","0","2","0","0"
"","现金管理-智多鑫-详情页","基金类型默认信息展示是否正确","0","0","1","0","0"
"","现金管理-智多鑫-详情页","买入展开信息展示是否正确","0","0","1","0","0"
"","现金管理添鑫宝签约适当性用例","查看资产是否显示","0","1","0","0","0"
"","现金管理-智多鑫-详情页","查看资产显示是否正确","0","1","0","0","0"
"","现金管理-智多鑫-签约无资产账户详情页资产显示","签约无资产账户详情页资产显示","0","1","0","0","0"
"","现金管理-智多鑫-预约取款用例","不输入金额，点击预约取款","0","0","1","0","0"
"","现金管理-添鑫宝-应急取款用例","支持的银行列表","0","0","1","0","0"
"","现金管理-智多鑫-应急取款用例","参考可取金额显示是否正确","0","1","0","0","0"
"","现金管理-智多鑫-详情页","基金管理人默认信息展示是否正确","0","0","1","0","0"
